US eGRID Subregion,Coal,Oil,Gas,Other Fossil,Nuclear,Hydro,Biomass,Wind,Solar,Geothermal,"Other unknown/ purchased fuel"
AKGD (ASCC Alaska Grid),12.6,9.2,61.9,0.0,0.0,12.6,0.9,2.9,0.0,0.0,0.0
AKMS (ASCC Miscellaneous),0.0,24.6,7.9,0.0,0.0,65.4,0.0,2.1,0.0,0.0,0.0
AZNM (WECC Southwest),29.5,0.1,39.8,0.0,19.5,3.5,0.4,1.2,2.8,3.2,0.0
CAMX (WECC California),4.3,0.1,48.4,0.7,9.4,12.1,2.9,7.0,10.6,4.1,0.2
ERCT (ERCOT All),25.9,0.0,48.2,0.5,10.8,0.3,0.3,13.7,0.2,0.0,0.2
FRCC (FRCC All),16.0,1.2,66.6,0.0,12.8,0.1,2.4,0.0,0.1,0.0,0.7
HIMS (HICC Miscellaneous),0.2,61.7,0.0,0.0,0.0,3.3,4.3,14.8,2.1,9.5,4.1
HIOA (HICC Oahu),20.7,68.7,0.0,0.9,0.0,0.0,6.1,3.2,0.4,0.0,0.0
MROE (MRO East),64.5,0.6,20.5,0.1,0.0,6.8,5.3,2.0,0.0,0.0,0.1
MROW (MRO West),52.7,0.2,6.7,0.0,12.8,5.0,1.3,21.1,0.0,0.0,0.2
NEWE (NPCC New England),2.4,0.6,49.8,0.1,30.4,5.3,8.2,2.5,0.7,0.0,0.1
NWPP (WECC Northwest),22.5,0.2,15.3,0.3,3.4,47.2,1.3,8.6,0.5,0.7,0.1
NYCW (NPCC NYC/Westchester),0.0,0.4,64.6,0.0,34.1,0.0,0.9,0.0,0.0,0.0,0.0
NYLI (NPCC Long Island),0.0,2.7,88.5,0.0,0.0,0.0,8.0,0.0,0.8,0.0,0.0
NYUP (NPCC Upstate NY),2.1,0.2,27.7,0.0,31.4,31.6,2.1,4.7,0.1,0.0,0.0
RFCE (RFC East),17.6,0.2,38.0,0.2,39.7,0.9,1.9,1.0,0.4,0.0,0.0
RFCM (RFC Michigan),41.5,0.9,31.4,1.9,17.5,0.0,2.0,4.8,0.0,0.0,0.0
RFCW (RFC West),49.8,0.4,16.7,0.7,27.6,0.9,0.6,3.2,0.1,0.0,0.1
RMPA (WECC Rockies),51.3,0.0,20.2,0.0,0.0,12.1,0.3,15.1,0.8,0.0,0.1
SPNO (SPP North),57.9,0.1,9.5,0.0,12.4,0.3,0.1,19.8,0.0,0.0,0.0
SPSO (SPP South),34.8,1.9,40.7,0.2,0.0,3.6,1.5,17.1,0.1,0.0,0.1
SRMV (SERC Mississippi Valley),14.0,1.1,58.7,1.4,21.2,1.4,1.8,0.0,0.0,0.0,0.4
SRMW (SERC Midwest),71.4,0.1,8.3,0.0,15.1,1.2,0.1,3.5,0.0,0.0,0.2
SRSO (SERC South),28.9,0.1,47.0,0.0,18.2,2.0,3.5,0.0,0.3,0.0,0.0
SRTV (SERC Tennessee Valley),43.7,0.6,23.4,0.0,25.1,6.4,0.8,0.0,0.1,0.0,0.0
SRVC (SERC Virginia/Carolina),24.9,0.2,29.5,0.1,39.6,1.5,2.8,0.2,1.1,0.0,0.1
