Rank_area,Rank_pop,Name,All sectors,sd,nodata,0,5,1,15,2,25,3,35,4,45,Agricultural,Domestic,Industrial
NA,1,Qom (Namak Lake),5.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11120718848.00,5.00,5.00,5.00
1,2,Yongding He,4.99,0.13,0.00,0.00,0.00,0.00,0.00,1855633.00,0.00,127772392.00,379690464.00,378451.00,55265185792.00,4.99,4.98,4.99
NA,3,Brantas,4.97,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,384080032.00,8244669440.00,4.97,4.96,4.95
2,4,Harirud,4.91,0.28,0.00,11727823.00,81208.00,0.00,0.00,13862793.00,0.00,0.00,382950112.00,1136361216.00,20575997952.00,4.92,4.79,4.95
NA,5,Tuhai He,4.90,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,468431008.00,0.00,5249613312.00,4.91,4.88,4.89
NA,6,Sabarmati River,4.83,0.27,0.00,0.00,0.00,0.00,760401.00,0.00,0.00,225925744.00,61457100.00,511737.00,10213038080.00,4.83,4.84,4.86
3,7,Helmand,4.83,0.31,0.00,8099637.00,0.00,0.00,0.00,0.00,5779861.00,868114.00,427721.00,1764180352.00,9822640128.00,4.83,4.87,4.81
5,8,Sirdaryo,4.78,0.53,0.00,9509811.00,0.00,0.00,0.00,475545472.00,0.00,1374304896.00,2543625984.00,2240817920.00,38312550400.00,4.76,4.96,4.76
NA,9,Rio Maipo,4.66,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1467870.00,140661.00,0.00,1888912000.00,4.66,4.66,4.66
NA,10,Dead Sea (Jordan),4.57,0.35,0.00,3096.00,0.00,0.00,0.00,0.00,0.00,27360940.00,242175584.00,11446295.00,2107436800.00,4.58,4.56,4.55
NA,11,Solo (Bengawan Solo),4.46,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12786319360.00,272061952.00,4.46,4.46,4.46
6,12,Indus,4.30,1.21,0.00,2997939456.00,2462558208.00,5746977280.00,3548567040.00,623905600.00,17823301632.00,853451712.00,23395686400.00,2217586944.00,128371000000.00,4.31,4.08,4.14
NA,13,Daliao He,4.19,0.37,0.00,0.00,0.00,2561884.00,0.00,0.00,0.00,1259843456.00,0.00,6183097344.00,5831130.00,4.27,4.33,4.01
7,14,Colorado River (Pacific Ocean),4.18,1.28,0.00,152121680.00,438269344.00,338803488.00,80184600.00,2261484544.00,0.00,339644960.00,157319360.00,1601163520.00,10770856960.00,3.97,4.24,4.48
NA,15,Palar River,4.15,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28976912.00,8744797.00,4738350592.00,28187282.00,4.15,4.15,4.15
9,16,Bravo,4.12,1.18,0.00,281016384.00,82386944.00,52622.00,7297.00,1103423360.00,1210690816.00,392103104.00,54943.00,1770026496.00,7569161728.00,4.08,4.23,4.23
10,17,Liao He,4.00,0.72,0.00,0.00,0.00,0.00,0.00,0.00,1263636352.00,4908385280.00,3784787456.00,41278312.00,7264901632.00,4.14,3.86,3.50
11,18,Huang He (Yellow River),4.00,1.03,0.00,236617312.00,2093711488.00,416795168.00,879090624.00,4291203584.00,573561920.00,4741974016.00,23554236416.00,2731768576.00,27330637824.00,4.07,3.91,3.87
15,19,Santiago,3.63,0.95,0.00,186106352.00,755058112.00,3175062.00,0.00,639862.00,340457344.00,39102336.00,8712201216.00,0.00,1575565568.00,3.68,3.39,3.56
NA,20,Cauvery River,3.57,0.10,0.00,87229.00,496947.00,2596480.00,0.00,1312273.00,121947832.00,1602886.00,17188182016.00,57362344.00,277850.00,3.57,3.58,3.58
NA,21,Thames,3.57,0.15,0.00,0.00,0.00,0.00,3170201.00,1644560.00,50875228.00,4125859.00,2224147712.00,0.00,599963.00,3.53,3.57,3.57
16,22,Narmada,3.56,0.17,0.00,0.00,0.00,0.00,2190752.00,6184898.00,33036692.00,34584400.00,24001828864.00,12163441.00,358740576.00,3.56,3.56,3.65
18,23,Tigris & Euphrates,3.54,1.15,0.00,2029986304.00,2028233600.00,1465347072.00,6340251136.00,7266149376.00,6023324672.00,25153357824.00,21583972352.00,447143.00,29981169664.00,3.60,3.35,2.98
NA,24,Penner River,3.53,0.28,0.00,0.00,0.00,0.00,0.00,338109.00,0.00,5549517312.00,9947904.00,6328391.00,194462240.00,3.53,3.51,3.53
NA,25,Mahi River,3.52,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5777483264.00,4993032.00,62434304.00,3.52,3.53,3.54
NA,26,Tejo,3.51,0.27,0.00,0.00,0.00,0.00,0.00,0.00,22824992.00,4510331904.00,49050884.00,0.00,200830880.00,3.52,3.48,3.52
NA,27,Delaware River,3.46,0.08,0.00,0.00,0.00,288726.00,1145969.00,15945232.00,0.00,5328075776.00,480809056.00,5695614.00,0.00,3.49,3.45,3.46
