Rank,Name,All sectors,sd,nodata,0,5,1,15,2,25,3,35,4,45,Agricultural,Domestic,Industrial
1,Antigua and Barbuda,5,0,0,0,0,0,0,0,0,0,0,0,8026709,5,5,5
1,Bahrain,5,0,0,0,0,0,0,0,0,0,0,0,413053888,5,5,5
1,Barbados,5,0,0,0,0,0,0,0,0,0,0,0,69750728,5,5,5
1,Comoros,5,0,0,0,0,0,0,0,0,0,0,0,11226803,5,5,5
1,Cyprus,5,0,0,0,0,0,0,0,0,0,0,0,97815136,5,5,5
1,Dominica,5,0,0,0,0,0,0,0,0,0,0,0,4829325,-,5,5
1,Jamaica,5,0,0,0,0,0,0,0,0,0,0,0,812865600,5,5,5
1,Malta,5,0,0,0,0,0,0,0,0,0,0,0,49969988,5,5,5
1,Qatar,5,0,0,0,0,0,0,0,0,0,0,0,667574400,5,5,5
1,Saint Lucia,5,0,0,0,0,0,0,0,0,0,0,0,6852419,5,5,5
1,Saint Vincent and the Grenadines,5,0,0,0,0,0,0,0,0,0,0,0,3591320,-,5,5
1,San Marino,5,0,0,0,0,0,0,0,0,0,0,0,901388352,5,5,5
1,Singapore,5,0,0,0,0,0,0,0,0,0,0,0,2570737152,-,5,5
1,Trinidad and Tobago,5,0,0,0,0,0,0,0,0,0,0,0,314478336,5,5,5
1,United Arab Emirates,5,0,0,0,0,0,0,0,0,0,0,0,5566038528,5,5,5
1,Western Sahara,5,0,0,0,0,0,0,0,0,0,0,0,6427,-,5,-
17,Saudi Arabia,4.99,0.18,0,36074040,0,0,0,0,0,31439888,0,208745,31688722432,5,4.93,5
18,Kuwait,4.96,0.17,0,0,0,0,0,0,0,0,0,46097000,1104219648,4.97,4.97,4.9
19,Oman,4.91,0.27,0,0,0,0,0,0,0,0,85766456,33138668,1312025728,4.91,4.95,4.94
20,Libya,4.84,0.64,0,71367072,0,0,24805848,0,3222298,50510164,302412672,70761024,5603730432,4.9,4.51,4.83
21,Israel,4.83,0.25,0,3096,0,0,0,0,0,0,15768793,393970176,2122709888,4.81,4.86,4.79
22,Kyrgyzstan,4.82,0.37,0,0,0,0,20758,0,0,174093792,0,1013225344,8829151232,4.82,4.91,4.89
23,East Timor,4.81,0.48,0,0,0,0,0,0,62535,0,150737680,0,915272064,4.8,4.85,4.98
24,Iran,4.78,0.58,0,148175088,232365152,0,1085979264,21825078,80119824,2642667520,579405760,3902476544,80784228352,4.79,4.76,4.61
25,Yemen,4.67,0.8,0,129436448,0,0,0,52511280,0,53346148,0,1018206080,4716767744,4.69,4.63,3.92
26,Palestine,4.63,0.5,0,0,0,0,0,0,0,0,84922864,25624112,370177056,4.69,4.6,4.65
27,Jordan,4.59,0.44,0,0,0,0,0,0,0,28005288,146166480,0,1007273792,4.57,4.64,4.58
28,Lebanon,4.54,0.52,0,0,0,0,0,0,0,0,375463040,218022944,731776960,4.42,4.75,4.6
29,Somaliland,4.38,0.96,0,21035920,0,0,0,0,0,88692536,0,256538816,364347360,4.38,3.77,4.47
30,Uzbekistan,4.32,1.34,0,836254784,2641252096,0,0,5507335680,4392543744,31270,588003,165854144,48466202624,4.29,4.53,4.53
31,Pakistan,4.31,1.27,0,3814144256,2479156992,6851251200,3508328704,624829376,14129655808,819655424,14553010176,1869255936,1.34362E+11,4.33,4.14,4.12
32,Turkmenistan,4.3,1.32,0,72622752,1155048320,0,0,3477551360,60607164,0,0,927366464,18363017216,4.3,4.13,4.35
33,Morocco,4.24,1.03,0,39806856,120378832,178809920,144266208,1265349888,66924640,570057920,3065224960,285706688,8299119104,4.28,3.99,4.01
34,Mongolia,4.05,1.96,0,131044336,5695912,0,0,0,0,0,0,1524875,575777536,3.23,4.17,4.82
35,Kazakhstan,4.02,1.24,0,775872256,654091712,500917280,2067153920,1218213376,667752576,1912361728,4767767552,4636666880,17954678784,4.07,3.79,3.8
36,Afghanistan,4.01,1.25,0,406187776,1222424064,0,88762,1225130240,6253137408,2555618048,379398368,2558601728,18033031168,4.01,3.64,3.89
37,Lesotho,3.97,0.17,0,734,240150,0,1759,7199,0,0,93952248,0,0,3.98,3.98,3.94
38,Syria,3.85,1.26,0,795887936,0,0,304722112,3372065792,0,173624592,9144484,3165880832,9942785024,3.86,3.79,3.83
39,Spain,3.73,1.03,0,81451088,676567296,376744864,555926144,37505784,3742433024,12133052416,1034505344,4736492032,8733244416,3.71,3.84,3.67
40,India,3.58,1.44,0,50728914944,13495705600,16474809344,24067459072,34846162944,88243462144,51171672064,1.54995E+11,36996063232,2.89173E+11,3.63,3.08,3.44
41,South Korea,3.54,1.29,0,0,1365517,283973632,2872224768,6132118016,912227840,1049646144,1298872320,1687999872,8278979072,3.44,3.52,3.85
42,Tajikistan,3.53,1.28,0,262401632,711312256,0,0,0,2889449728,3349312256,0,1342307840,4161342720,3.55,3.44,3.22
