Ticker,Report Date,Currency,Fiscal Year,Fiscal Period,Revenue,Cost of Revenue,Operating Income (Loss),Operating Expenses,Depreciation & Amortization,EBITDA,country_code,primary_ticker,account_number,organization,survey_year,response_received_date,country,region,authority_types,activities,sectors,industries,primary_activity,primary_sector,primary_industry,primary_questionnaire_sector
A,2017-10-31,USD,2017,FY,4472000000.0,-2063000000.0,841000000.0,-1568000000.0,212000000.0,1053000000.0,,,,,,,,,,,,,,,,
A,2018-10-31,USD,2018,FY,4914000000.0,-2227000000.0,928000000.0,-1759000000.0,210000000.0,1138000000.0,US,A US,391.0,Agilent Technologies Inc.,2018.0,2018-08-10T00:00:00Z,United States of America,," Investor, Supply Chain", Medical equipment, Medical equipment & supplies," Biotech, health care & pharma",Medical equipment,Medical equipment & supplies,"Biotech, health care & pharma",General
A,2019-10-31,USD,2019,FY,5163000000.0,-2358000000.0,941000000.0,-1864000000.0,238000000.0,1179000000.0,US,A US,391.0,Agilent Technologies Inc.,2019.0,2019-07-01T16:13:45Z,United States of America,," Investor, Supply Chain", Medical equipment, Medical equipment & supplies," Biotech, health care & pharma",Medical equipment,Medical equipment & supplies,"Biotech, health care & pharma",General
AA,2017-12-31,USD,2017,FY,11652000000.0,-9072000000.0,1514000000.0,-1066000000.0,752000000.0,2266000000.0,,,,,,,,,,,,,,,,
AA,2018-12-31,USD,2018,FY,13403000000.0,-10081000000.0,2310000000.0,-1012000000.0,733000000.0,3043000000.0,US,AA US,511.0,Alcoa Corp.,2018.0,2018-08-13T00:00:00Z,United States of America,," Investor, Supply Chain"," Aluminium refining, Aluminum, Bauxite mining, CCGT generation, Other non-ferrous ore mining"," Metal smelting, refining & forming, Metallic mineral mining, Thermal power generation"," Materials, Power generation",Aluminium refining,"Metal smelting, refining & forming",Materials,Metals & mining
AA,2019-12-31,USD,2019,FY,10433000000.0,-8537000000.0,876000000.0,-1020000000.0,713000000.0,1589000000.0,,,,,,,,,,,,,,,,
AAL,2017-12-31,USD,2017,FY,42207000000.0,-29452000000.0,4058000000.0,-8697000000.0,2017000000.0,6075000000.0,,,,,,,,,,,,,,,,
AAL,2018-12-31,USD,2018,FY,44541000000.0,-32651000000.0,2656000000.0,-9234000000.0,2159000000.0,4815000000.0,US,AAL US,660.0,American Airlines Group Inc,2018.0,2018-08-30T00:00:00Z,United States of America,," Investor, Supply Chain"," Air freight, Passenger airlines", Air transport, Transportation services,Passenger airlines,Air transport,Transportation services,Transport services
AAL,2019-12-31,USD,2019,FY,45768000000.0,-33397000000.0,3065000000.0,-9306000000.0,2318000000.0,5383000000.0,US,AAL US,660.0,American Airlines Group Inc,2019.0,2019-07-31T18:30:08Z,United States of America,," Investor, Supply Chain"," Air freight, Passenger airlines", Air transport, Transportation services,Passenger airlines,Air transport,Transportation services,Transport services
AAMC,2017-12-31,USD,2017,FY,18160000.0,-19393000.0,-7347000.0,-6114000.0,302000.0,-7045000.0,,,,,,,,,,,,,,,,
AAMC,2018-12-31,USD,2018,FY,15926000.0,-17320000.0,-6608000.0,-5214000.0,436000.0,-6172000.0,,,,,,,,,,,,,,,,
AAMC,2019-12-31,USD,2019,FY,15762000.0,-17029000.0,-9025000.0,-7758000.0,392000.0,-8633000.0,,,,,,,,,,,,,,,,
AAN,2017-12-31,USD,2017,FY,3383708000.0,-1707565000.0,272693000.0,-1403450000.0,1531203000.0,1803896000.0,,,,,,,,,,,,,,,,
AAN,2018-12-31,USD,2018,FY,3828923000.0,-1921903000.0,290713000.0,-1616307000.0,1822054000.0,2112767000.0,,,,,,,,,,,,,,,,
AAN,2019-12-31,USD,2019,FY,3947656000.0,-2109611000.0,325125000.0,-1512920000.0,2077419000.0,2402544000.0,,,,,,,,,,,,,,,,
AAOI,2017-12-31,USD,2017,FY,382329000.0,-216049000.0,86951000.0,-79329000.0,20381000.0,107332000.0,,,,,,,,,,,,,,,,
AAOI,2018-12-31,USD,2018,FY,267465000.0,-179692000.0,-10768000.0,-98541000.0,29698000.0,18930000.0,,,,,,,,,,,,,,,,
AAOI,2019-12-31,USD,2019,FY,190872000.0,-144671000.0,-48747000.0,-94948000.0,24014000.0,-24733000.0,,,,,,,,,,,,,,,,
AAON,2017-12-31,USD,2017,FY,405232000.0,-281835000.0,74148000.0,-49249000.0,15007000.0,89155000.0,,,,,,,,,,,,,,,,
AAON,2018-12-31,USD,2018,FY,433947000.0,-330414000.0,55778000.0,-47755000.0,17655000.0,73433000.0,,,,,,,,,,,,,,,,
AAON,2019-12-31,USD,2019,FY,469333000.0,-349908000.0,67348000.0,-52077000.0,22766000.0,90114000.0,,,,,,,,,,,,,,,,
AAP,2017-12-31,USD,2017,FY,9373784000.0,-5288735000.0,570212000.0,-3514837000.0,249260000.0,819472000.0,,,,,,,,,,,,,,,,
AAP,2018-12-31,USD,2018,FY,9580554000.0,-5361141000.0,604275000.0,-3615138000.0,238184000.0,842459000.0,,,,,,,,,,,,,,,,
AAP,2019-12-31,USD,2019,FY,9709003000.0,-5454257000.0,677180000.0,-3577566000.0,238371000.0,915551000.0,,,,,,,,,,,,,,,,
AAPL,2017-09-30,USD,2017,FY,229234000000.0,-141048000000.0,61344000000.0,-26842000000.0,10157000000.0,71501000000.0,,,,,,,,,,,,,,,,
AAPL,2018-09-30,USD,2018,FY,265595000000.0,-163756000000.0,70898000000.0,-30941000000.0,10903000000.0,81801000000.0,US,AAPL US,865.0,Apple Inc.,2018.0,2018-08-29T00:00:00Z,United States of America,," Investor, Supply Chain"," Communications equipment, Computer hardware, Discretionary delivery retail, Electronic equipment"," Discretionary retail, Electrical & electronic equipment"," Manufacturing, Retail",Communications equipment,Electrical & electronic equipment,Manufacturing,General
